ID;Implementing Partner;Lead Office;Type of Project;Project Title;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
623;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Batug;Completed;30;individuals
624;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Batug;Completed;86;individuals
625;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Buntay;Completed;;individuals
626;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Cabacungan;Completed;90;individuals
627;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Cabacungan;Completed;81;individuals
628;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Cabacungan;Completed;92;individuals
629;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Cabatoan;Completed;17;individuals
630;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Cabatoan;Completed;72;individuals
631;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Cabatoan;Completed;76;individuals
632;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Camitoc;Completed;17;individuals
633;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Camitoc;Completed;47;individuals
634;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Candao;Completed;24;individuals
635;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Combis;Completed;10;individuals
636;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Combis;Completed;81;individuals
637;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Highway;Completed;;individuals
638;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Luan;Completed;10;individuals
639;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Luan;Completed;78;individuals
640;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Rawis;Completed;11;individuals
641;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Rawis;Completed;95;individuals
642;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Rizal;Completed;7;individuals
643;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Rizal;Completed;98;individuals
644;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Rizal;Completed;92;individuals
645;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Salvacion;Completed;;individuals
646;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Salvacion;Completed;88;individuals
647;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;San Rafael;Completed;8;individuals
648;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;San Rafael;Completed;94;individuals
649;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Tabu;Completed;72;individuals
650;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Tabu;Completed;82;individuals
651;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Victory;Completed;9;individuals
652;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Leyte;837;83718;Victory;Completed;43;individuals
653;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Aglanot;Completed;1147;individuals
654;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Aglanot;Completed;326;individuals
655;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Sagrada Familia;Completed;349;individuals
656;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Agsirab;Completed;943;individuals
657;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Agsirab;Completed;182;individuals
658;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Calapawan;Completed;745;individuals
659;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Calapawan;Completed;172;individuals
660;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Guinotos;Completed;418;individuals
661;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Guinotos;Completed;93;individuals
662;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Lawaan;Completed;1567;individuals
663;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Lawaan;Completed;308;individuals
664;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Malonoy;Completed;760;individuals
665;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Malonoy;Completed;187;individuals
666;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Calapawan;Completed;274;individuals
667;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Sagrada Familia;Completed;2042;individuals
668;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;San Juan;Completed;994;individuals
669;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;San Juan;Completed;161;individuals
670;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Tamulalod;Completed;643;individuals
671;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Tamulalod;Completed;161;individuals
672;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Tina;Completed;643;individuals
673;German Red Cross;DMS;Disaster Risk Reduction;Early Recovery Assistance to Populations Affected by Typhoon Yolanda in the Province of Capiz;619;61904;Tina;Completed;185;individuals
674;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25007;Belance;Completed;;families
675;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25007;Bitnong;Completed;;families
676;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25007;Ineagan;Completed;;families
677;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25007;Lamo;Completed;;families
678;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25007;Mabasa;Completed;;families
679;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25007;Malasin;Completed;;families
680;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25007;Parai;Completed;;families
681;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;250;25007;Belance;Completed;;families
682;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;250;25007;Bitnong;Completed;;families
683;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;250;25007;Ineagan;Completed;;families
684;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;250;25007;Lamo;Completed;;families
685;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;250;25007;Mabasa;Completed;;families
686;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;250;25007;Malasin;Completed;;families
687;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;250;25007;Parai;Completed;;families
688;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;215;21512;Batu;Completed;132;families
689;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;215;21512;Marracuru;Completed;;families
690;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;215;21512;Roma Norte;Completed;;families
691;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;215;21512;San Antonio;Completed;;families
692;Swiss Red Cross;DMS;Disaster Recovery;Typhoon Lawin Recovery Program in Enrile, Cagayan;215;21512;Lemu Sur;Completed;50;families
693;Swiss Red Cross;DMS;Disaster Recovery;Typhoon Lawin Recovery Program in Enrile, Cagayan;215;21512;Lemo Norte;Completed;40;families
694;Swiss Red Cross;DMS;Disaster Recovery;Typhoon Lawin Recovery Program in Enrile, Cagayan;215;21512;Batu;Completed;79;families
695;Swiss Red Cross;DMS;Disaster Recovery;Typhoon Lawin Recovery Program in Enrile, Cagayan;215;21512;Divisoria;Completed;104;families
696;Swiss Red Cross;DMS;Disaster Recovery;Typhoon Lawin Recovery Program in Enrile, Cagayan;215;21512;Lemu Sur;Completed;7;families
697;Swiss Red Cross;DMS;Disaster Recovery;Typhoon Lawin Recovery Program in Enrile, Cagayan;215;21512;Lemo Norte;Completed;28;families
698;Swiss Red Cross;DMS;Disaster Recovery;Typhoon Lawin Recovery Program in Enrile, Cagayan;215;21512;Batu;Completed;62;families
699;Swiss Red Cross;DMS;Disaster Recovery;Typhoon Lawin Recovery Program in Enrile, Cagayan;215;21512;Divisoria;Completed;57;families
700;NPL - NLRC;DMS;Disaster Risk Reduction;Proud of My Purok (POMP);1603;160303;Guadalupe;Completed;4506;individuals
701;NPL - NLRC;DMS;Disaster Risk Reduction;Proud of My Purok (POMP);1603;160303;Hawilian;Completed;2451;individuals
702;NPL - NLRC;DMS;Disaster Risk Reduction;Proud of My Purok (POMP);1603;160303;Langag;Completed;1241;individuals
703;NPL - NLRC;DMS;Disaster Risk Reduction;Proud of My Purok (POMP);1603;160303;Remedios;Completed;1696;individuals
704;NPL - NLRC;DMS;Disaster Risk Reduction;Proud of My Purok (POMP);1603;160303;Santa Fe;Completed;1984;individuals
705;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1481;148103;Balluyan;Completed;;families
706;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1481;148103;Malayugan;Completed;;families
707;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1481;148103;Mallig;Completed;;families
708;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1481;148103;Malubibit Norte;Completed;;families
709;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1481;148103;Malubibit Sur;Completed;;families
710;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1481;148103;Poblacion East;Completed;;families
711;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1481;148103;Upper Atok;Completed;;families
